chrom1,start1,end1,chrom2,start2,end2
chr3,134268838,134268920,chr3,134269360,134269397
chr3,81316750,81316772,chr3,81956386,81956420
chr3,46180360,46180426,chr3,46753557,46753699
chr3,86631019,86631053,chr3,86635617,86635688
chr3,154206329,154206479,chr3,154215188,154215218
chr3,37709987,37710092,chr3,126871387,126871451
chr3,90265066,90265085,chr3,121490596,121490748
chr3,66730647,66730761,chr3,77654108,77654163
chr3,22219225,22219375,chr3,69297834,69297984
chr3,89895466,89895487,chr3,89895949,89896099
chr3,65204828,65204978,chr3,128573129,128573206
chr3,115653547,115653578,chr3,115900308,115900355
chr3,126669475,126669521,chr3,126677508,126677577
chr3,15154519,15154584,chr3,15154761,15154911
chr3,48427530,48427649,chr3,48427586,48427715
chr3,99820578,99820602,chr3,114835267,114835417
chr3,75829358,75829508,chr3,122970559,122970615
chr3,148387991,148388141,chr3,148899595,148899636
chr3,130846929,130847061,chr3,131186449,131186599
chr3,105669986,105670136,chr3,105674248,105674268
chr3,130305308,130305458,chr3,130392385,130392439
chr3,23203952,23204102,chr3,25055768,25055815
chr3,87091567,87091717,chr3,87099778,87099850
chr3,70367408,70367496,chr3,109232522,109232672
chr3,136329428,136329448,chr3,136329487,136329520
chr3,151321799,151321824,chr3,151449947,151450097
chr3,103059467,103059487,chr3,127846183,127846333
chr3,104686716,104686817,chr3,104838967,104839111
chr3,107795510,107795538,chr3,107795726,107795876
chr3,137342726,137342755,chr3,137402680,137402702
chr3,133860926,133861065,chr3,133860927,133861065
chr3,52128315,52128370,chr3,52145452,52145490
chr3,54374386,54374418,chr3,54374552,54374702
chr3,51867933,51868008,chr3,51869416,51869566
chr3,83512805,83512918,chr3,114486911,114487061
chr3,139905906,139905937,chr3,139906285,139906435
chr3,51521506,51521656,chr3,52973000,52973021
chr3,157991631,157991741,chr3,159876307,159876451
chr3,71288010,71288109,chr3,103714448,103714506
chr3,121313637,121313782,chr3,154584623,154584738
chr3,7895703,7895853,chr3,152287123,152287273
chr3,151292058,151292103,chr3,151292103,151292201
chr3,11187268,11187323,chr3,64553827,64553947
chr3,123508402,123508429,chr3,123508429,123508465
chr3,36819124,36819274,chr3,36819628,36819709
chr3,120366844,120366869,chr3,157723758,157723779
chr3,154908567,154908615,chr3,156042877,156042959
chr3,36068786,36068887,chr3,37259063,37259087
chr3,116271051,116271074,chr3,129724945,129725095
chr3,43848102,43848252,chr3,62729787,62729838
chr3,27478481,27478526,chr3,138667098,138667122
chr3,57836787,57836850,chr3,58206520,58206553
chr3,130818900,130819050,chr3,130887724,130887812
chr3,8618552,8618702,chr3,8622834,8622974
chr3,138865556,138865617,chr3,146768059,146768128
chr3,96032662,96032812,chr3,96032886,96032960
chr3,114919274,114919312,chr3,115054331,115054354
chr3,105286251,105286283,chr3,105334799,105334892
chr3,132065540,132065595,chr3,132295682,132295832
chr3,152960966,152961017,chr3,152961623,152961697
chr3,19879628,19879654,chr3,19881853,19882003
chr3,108890831,108890922,chr3,109376412,109376451
chr3,153284973,153285017,chr3,153300076,153300150
chr3,46302959,46303088,chr3,112923924,112923995
chr3,84708603,84708630,chr3,123386260,123386282
chr3,117869369,117869459,chr3,119946683,119946819
chr3,76505929,76506079,chr3,76511755,76511817
chr3,33710180,33710280,chr3,34445503,34445536
chr3,45983077,45983125,chr3,48271888,48271914
chr3,109966472,109966574,chr3,110521556,110521582
chr3,73841703,73841736,chr3,73921836,73921986
chr3,116508096,116508114,chr3,116530985,116531031
chr3,141870982,141871132,chr3,144056248,144056272
chr3,20924843,20924905,chr3,35536679,35536829
chr3,138526495,138526645,chr3,138526864,138526945
chr3,61464485,61464635,chr3,136030840,136030917
chr3,51891852,51892002,chr3,51940137,51940169
chr3,67463528,67463655,chr3,67512999,67513039
chr3,135691085,135691107,chr3,135699292,135699403
chr3,43624039,43624189,chr3,43740699,43740821
chr3,118620537,118620631,chr3,118979975,118980011
chr3,17659976,17660015,chr3,54068280,54068430
chr3,100446486,100446547,chr3,100446547,100446616
chr3,30595489,30595540,chr3,152210460,152210482
chr3,99884861,99885011,chr3,99885256,99885289
chr3,88645686,88645751,chr3,88719761,88719911
chr3,29881883,29882033,chr3,69744503,69744648
chr3,62387902,62388032,chr3,82360107,82360156
chr3,131808540,131808690,chr3,153180199,153180268
chr3,112096499,112096525,chr3,112119418,112119461
chr3,149528364,149528390,chr3,149549048,149549198
chr3,13565788,13565938,chr3,13572718,13572745
chr3,89963371,89963521,chr3,89963899,89963940
chr3,42519199,42519334,chr3,42593053,42593203
chr3,113816597,113816683,chr3,151070353,151070448
chr3,117407814,117407920,chr3,138937295,138937374
chr3,32528079,32528229,chr3,57494649,57494696
chr3,52016803,52016953,chr3,52458223,52458264
chr3,82859855,82859888,chr3,82859904,82860048
chr3,8510465,8510605,chr3,8923970,8924019
chr3,22020694,22020757,chr3,22022247,22022276
chr3,14494466,14494616,chr3,14494637,14494666
chr3,105962661,105962747,chr3,129206900,129206992
chr3,67244674,67244821,chr3,156017671,156017821
