chrom1,start1,end1,chrom2,start2,end2
chr1,90769298,90769345,chr1,90775424,90775574
chr1,220823838,220823988,chr1,220823993,220824056
chr1,179793877,179794027,chr1,179817836,179817986
chr1,206950151,206950301,chr1,206950902,206950922
chr1,19821973,19822123,chr1,19845509,19845659
chr1,231066268,231066418,chr1,231136026,231136077
chr1,93152701,93152851,chr1,93178608,93178631
chr1,26699045,26699153,chr1,26700112,26700141
chr1,158004632,158004674,chr1,158028499,158028536
chr1,205908891,205909041,chr1,206030949,206030982
chr1,202737519,202737559,chr1,202737596,202737746
chr1,167835826,167835976,chr1,167841961,167841995
chr1,164427647,164427730,chr1,166994100,166994250
chr1,58796135,58796285,chr1,58796304,58796332
chr1,87059942,87060092,chr1,87071683,87071767
chr1,50533105,50533255,chr1,50537370,50537393
chr1,52404552,52404605,chr1,53193642,53193792
chr1,91749586,91749736,chr1,91751034,91751184
chr1,38122984,38123013,chr1,38123346,38123496
chr1,220244830,220244980,chr1,220261674,220261824
chr1,232179713,232179741,chr1,232334885,232334906
chr1,59947270,59947420,chr1,76015079,76015229
chr1,241749825,241749856,chr1,241752201,241752351
chr1,247440394,247440512,chr1,247440511,247440538
chr1,52439048,52439196,chr1,52439473,52439498
chr1,232100497,232100647,chr1,244147115,244147265
chr1,106275292,106275442,chr1,108104394,108104484
chr1,171268548,171268698,chr1,171269016,171269046
chr1,10450554,10450577,chr1,10454972,10455122
chr1,232574164,232574184,chr1,233629718,233629868
chr1,16148157,16148307,chr1,16161984,16162053
chr1,226354406,226354506,chr1,226355570,226355600
chr1,12715978,12715997,chr1,212238617,212238648
chr1,91557113,91557172,chr1,91557764,91557914
chr1,108950299,108950449,chr1,108955679,108955704
chr1,199939560,199939633,chr1,199945466,199945616
chr1,248829045,248829148,chr1,248836352,248836396
chr1,192900696,192900846,chr1,192905155,192905188
chr1,11737300,11737358,chr1,11737427,11737577
chr1,109818306,109818331,chr1,109818593,109818743
chr1,75552130,75552274,chr1,75611019,75611148
chr1,208033965,208034007,chr1,208035189,208035339
chr1,213098484,213098634,chr1,213099125,213099150
chr1,221108979,221109070,chr1,221466726,221466876
chr1,162662613,162662654,chr1,162667363,162667513
chr1,220117740,220117890,chr1,240005962,240005986
chr1,85796645,85796675,chr1,98770514,98770659
chr1,170645217,170645271,chr1,171086011,171086045
chr1,109140765,109140905,chr1,109241554,109241637
chr1,22832542,22832692,chr1,22833841,22833882
chr1,185544847,185544986,chr1,185547491,185547629
chr1,63519660,63519810,chr1,66259081,66259102
chr1,151790942,151791017,chr1,151791017,151791039
chr1,150790794,150790944,chr1,167220601,167220657
chr1,165592278,165592301,chr1,165898679,165898716
chr1,190078760,190078910,chr1,192797434,192797499
chr1,50749204,50749226,chr1,51015767,51015917
chr1,151347103,151347253,chr1,151413303,151413453
chr1,106419682,106419730,chr1,172250460,172250481
chr1,22942179,22942329,chr1,22943155,22943227
chr1,167881155,167881177,chr1,167882800,167882846
chr1,17466086,17466178,chr1,110004365,110004396
chr1,23603864,23603886,chr1,23605860,23606010
chr1,67302501,67302531,chr1,67475789,67475939
chr1,178660882,178660911,chr1,178666558,178666613
chr1,166525641,166525681,chr1,166527202,166527292
chr1,172646994,172647029,chr1,172647046,172647196
chr1,173293933,173294083,chr1,173295484,173295634
chr1,208245361,208245496,chr1,208465180,208465329
chr1,206636150,206636300,chr1,206637200,206637246
chr1,15358747,15358771,chr1,15359073,15359223
chr1,80624225,80624375,chr1,80625249,80625399
chr1,167628152,167628173,chr1,167635058,167635208
chr1,33132273,33132423,chr1,33132645,33132699
chr1,185412585,185412735,chr1,185638633,185638783
chr1,161200719,161200754,chr1,161201196,161201346
chr1,230180677,230180735,chr1,230184163,230184269
chr1,174062060,174062210,chr1,174065762,174065912
chr1,245843227,245843377,chr1,245843728,245843787
chr1,45685916,45686066,chr1,45686514,45686545
chr1,191212233,191212383,chr1,191220814,191220853
chr1,243416195,243416321,chr1,243424743,243424780
chr1,162419542,162419692,chr1,162419803,162419841
chr1,115053558,115053708,chr1,115070408,115070558
chr1,60319339,60319489,chr1,204676088,204676122
chr1,157275158,157275308,chr1,157275612,157275652
chr1,224065205,224065254,chr1,224065313,224065457
chr1,6850675,6850700,chr1,6868912,6869062
chr1,75315054,75315096,chr1,75669258,75669408
chr1,46161103,46161156,chr1,46161315,46161465
chr1,27320803,27320841,chr1,27321396,27321546
chr1,31032746,31032773,chr1,31064811,31064961
chr1,44597114,44597254,chr1,44597766,44597796
chr1,50351128,50351157,chr1,50576394,50576418
chr1,75764218,75764368,chr1,75923985,75924135
chr1,22102370,22102520,chr1,22103892,22103913
chr1,87113363,87113382,chr1,87113426,87113576
chr1,242569034,242569184,chr1,242569661,242569793
chr1,37949084,37949126,chr1,37963599,37963687
chr1,29653594,29653625,chr1,30309085,30309114
chr1,155892878,155893003,chr1,155909605,155909640
chr1,207437017,207437167,chr1,207437369,207437396
chr1,38229490,38229640,chr1,38230145,38230178
chr1,17963553,17963703,chr1,17968014,17968164
chr1,153691938,153691961,chr1,153691961,153691993
chr1,40930772,40930922,chr1,40938427,40938498
chr1,86632623,86632763,chr1,119061710,119061860
chr1,168924125,168924275,chr1,168925298,168925324
chr1,155001254,155001341,chr1,155002026,155002176
chr1,33127114,33127150,chr1,33127150,33127178
chr1,45844360,45844492,chr1,45856823,45856850
chr1,6580947,6581076,chr1,6663756,6663906
chr1,22531242,22531392,chr1,22837214,22837288
